track_id,poet,lyrics,lyrics source,disc_number,duration_ms,explicit,track_name,track_name_farsi,artist_name,artist_name_farsi,popularity,track_number,album_href,album_id,album_name,album_release_date,album_total_tracks,album_release_year,track_href,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,key_name,mode_name,key_mode,artist_id,lyrics,poet,lyric source,genre
4a1yA3z9rwMtFKPscJqKL6,NA,NA,NA,1,374573,FALSE,Khiyal (Tasnif Chahargah),NA,Salar Aghili,سالار عقیلی,NA,9,NA,6DC35Ey7EqQk6bwCF0B9G8,Saadi Nameh,2018-08-25,NA,2018,https://api.spotify.com/v1/tracks/4a1yA3z9rwMtFKPscJqKL6,0.379,0.438,11,-4.288,0,0.0667,0.925,1.17E-04,0.314,0.399,74.937,3,B,minor,B minor,NA,,,,
5k8PjBlv4Xj2DKrdMEnLzR,NA,NA,NA,1,118400,FALSE,Bedahe Navazie Kamancheh,NA,Salar Aghili,سالار عقیلی,NA,10,NA,6DC35Ey7EqQk6bwCF0B9G8,Saadi Nameh,2018-08-25,NA,2018,https://api.spotify.com/v1/tracks/5k8PjBlv4Xj2DKrdMEnLzR,0.476,0.2,4,-7.8,1,0.0588,0.993,0.915,0.0666,0.272,70.767,3,E,major,E major,NA,,,,
7KGv5nPlarWD9n7Ql1ifFq,NA,NA,NA,1,470293,FALSE,Sarve Chaman (Tasnif Homayoun),NA,Salar Aghili,سالار عقیلی,NA,11,NA,6DC35Ey7EqQk6bwCF0B9G8,Saadi Nameh,2018-08-25,NA,2018,https://api.spotify.com/v1/tracks/7KGv5nPlarWD9n7Ql1ifFq,0.624,0.44,11,-3.957,0,0.0294,0.883,1.42E-04,0.104,0.156,119.869,4,B,minor,B minor,NA,,,,
0tkHs9FiPUMQh6Od2Uvsol,NA,NA,NA,1,123160,FALSE,Taknavazie Tar,NA,Salar Aghili,سالار عقیلی,NA,12,NA,6DC35Ey7EqQk6bwCF0B9G8,Saadi Nameh,2018-08-25,NA,2018,https://api.spotify.com/v1/tracks/0tkHs9FiPUMQh6Od2Uvsol,0.466,0.321,11,-5.832,1,0.0759,0.891,0.595,0.0757,0.431,130.498,4,B,major,B major,NA,,,,
3gOYtiVEpAhrWIsOFltGZQ,NA,NA,NA,1,381306,FALSE,Sarve Ravan (Tasnif Chahargah),NA,Salar Aghili,سالار عقیلی,NA,13,NA,6DC35Ey7EqQk6bwCF0B9G8,Saadi Nameh,2018-08-25,NA,2018,https://api.spotify.com/v1/tracks/3gOYtiVEpAhrWIsOFltGZQ,0.592,0.565,11,-3.816,1,0.0349,0.862,0.0805,0.235,0.555,127.664,4,B,major,B major,NA,,,,
4nSRyKVSV2S8REPjgD23GT,NA,NA,NA,1,90640,FALSE,Solo Setar,NA,Salar Aghili,سالار عقیلی,NA,1,NA,06f8KcXCQIxG2zfoAGcoo9,Afsaneye Roozegar,2018-08-15,NA,2018,https://api.spotify.com/v1/tracks/4nSRyKVSV2S8REPjgD23GT,0.437,0.273,6,-10.776,1,0.11,0.876,0.392,0.0999,0.153,83.332,5,F#,major,F# major,NA,,,,
2Mdrv4tIZR9Q9ZZk6zTbZP,NA,NA,NA,1,378160,FALSE,Shab Khiyal / Dashti,NA,Salar Aghili,سالار عقیلی,NA,2,NA,06f8KcXCQIxG2zfoAGcoo9,Afsaneye Roozegar,2018-08-15,NA,2018,https://api.spotify.com/v1/tracks/2Mdrv4tIZR9Q9ZZk6zTbZP,0.404,0.503,11,-4.872,0,0.0379,0.905,0,0.151,0.468,139.606,3,B,minor,B minor,NA,,,,
3LGj2uBm6hJd7wwGOzCdiy,NA,NA,NA,1,86720,FALSE,Setar,NA,Salar Aghili,سالار عقیلی,NA,3,NA,06f8KcXCQIxG2zfoAGcoo9,Afsaneye Roozegar,2018-08-15,NA,2018,https://api.spotify.com/v1/tracks/3LGj2uBm6hJd7wwGOzCdiy,0.373,0.332,11,-9.387,0,0.0464,0.815,0.879,0.115,0.299,106.586,4,B,minor,B minor,NA,,,,
1wqmLhAnB2p1mwadIt7Lef,NA,NA,NA,1,287600,FALSE,Basteh Dam / Dashti,NA,Salar Aghili,سالار عقیلی,NA,4,NA,06f8KcXCQIxG2zfoAGcoo9,Afsaneye Roozegar,2018-08-15,NA,2018,https://api.spotify.com/v1/tracks/1wqmLhAnB2p1mwadIt7Lef,0.385,0.503,11,-5.497,0,0.0372,0.921,2.00E-05,0.0945,0.432,179.747,3,B,minor,B minor,NA,,,,
7lIyJ1VYItPZ3SLT0Ehuy9,NA,NA,NA,1,99026,FALSE,Taknavazi Setar,NA,Salar Aghili,سالار عقیلی,NA,5,NA,06f8KcXCQIxG2zfoAGcoo9,Afsaneye Roozegar,2018-08-15,NA,2018,https://api.spotify.com/v1/tracks/7lIyJ1VYItPZ3SLT0Ehuy9,0.379,0.313,4,-9.217,1,0.0515,0.838,0.739,0.137,0.257,87.238,4,E,major,E major,NA,,,,
5ZKj8vGXjj8mV5G25VvSKb,NA,NA,NA,1,393906,FALSE,Atashe Del / Dashti,NA,Salar Aghili,سالار عقیلی,NA,6,NA,06f8KcXCQIxG2zfoAGcoo9,Afsaneye Roozegar,2018-08-15,NA,2018,https://api.spotify.com/v1/tracks/5ZKj8vGXjj8mV5G25VvSKb,0.419,0.455,11,-5.039,0,0.0343,0.923,3.77E-05,0.111,0.389,177.907,3,B,minor,B minor,NA,,,,
6gIzh4DG6Tuz1qDWF2a2qO,NA,NA,NA,1,106666,FALSE,Taknavazi,NA,Salar Aghili,سالار عقیلی,NA,7,NA,06f8KcXCQIxG2zfoAGcoo9,Afsaneye Roozegar,2018-08-15,NA,2018,https://api.spotify.com/v1/tracks/6gIzh4DG6Tuz1qDWF2a2qO,0.38,0.267,4,-10.848,1,0.0446,0.906,0.657,0.116,0.317,97.018,5,E,major,E major,NA,,,,
2K4H3pNX8fyZ0S53KfVini,NA,NA,NA,1,314960,FALSE,Atashe Eshgh / Bayat Tork,NA,Salar Aghili,سالار عقیلی,NA,8,NA,06f8KcXCQIxG2zfoAGcoo9,Afsaneye Roozegar,2018-08-15,NA,2018,https://api.spotify.com/v1/tracks/2K4H3pNX8fyZ0S53KfVini,0.375,0.488,11,-4.457,1,0.0313,0.904,1.05E-06,0.4,0.417,97.183,3,B,major,B major,NA,,,,
3CMGMIKyRUo4OwHwuXtWos,NA,NA,NA,1,69653,FALSE,Setar Taknavazi,NA,Salar Aghili,سالار عقیلی,NA,9,NA,06f8KcXCQIxG2zfoAGcoo9,Afsaneye Roozegar,2018-08-15,NA,2018,https://api.spotify.com/v1/tracks/3CMGMIKyRUo4OwHwuXtWos,0.498,0.426,11,-8.978,1,0.107,0.889,0.876,0.193,0.691,43.52,4,B,major,B major,NA,,,,
3YUFP4YTSy6ifnUI7xYUSR,NA,NA,NA,1,313200,FALSE,Afsaneye Eshgh / Bayat Bork,NA,Salar Aghili,سالار عقیلی,NA,10,NA,06f8KcXCQIxG2zfoAGcoo9,Afsaneye Roozegar,2018-08-15,NA,2018,https://api.spotify.com/v1/tracks/3YUFP4YTSy6ifnUI7xYUSR,0.612,0.513,6,-5.351,0,0.0425,0.911,3.28E-05,0.151,0.208,99.881,3,F#,minor,F# minor,NA,,,,
5frqXhGPyhOCrCZXmgoYX3,NA,NA,NA,1,96893,FALSE,Setar Navazi,NA,Salar Aghili,سالار عقیلی,NA,11,NA,06f8KcXCQIxG2zfoAGcoo9,Afsaneye Roozegar,2018-08-15,NA,2018,https://api.spotify.com/v1/tracks/5frqXhGPyhOCrCZXmgoYX3,0.305,0.422,11,-8.175,1,0.0657,0.789,0.71,0.172,0.195,93.21,4,B,major,B major,NA,,,,
3ZvVLCykgIuUmYVJG2oF5E,NA,NA,NA,1,432813,FALSE,Khofte Bidar / Aboata,NA,Salar Aghili,سالار عقیلی,NA,12,NA,06f8KcXCQIxG2zfoAGcoo9,Afsaneye Roozegar,2018-08-15,NA,2018,https://api.spotify.com/v1/tracks/3ZvVLCykgIuUmYVJG2oF5E,0.551,0.358,7,-5.794,1,0.0305,0.881,3.21E-06,0.223,0.269,79.397,3,G,major,G major,NA,,,,
7teoHDenzkNObWsu6dAhDL,NA,NA,NA,1,109640,FALSE,Setar / Aboata,NA,Salar Aghili,سالار عقیلی,NA,13,NA,06f8KcXCQIxG2zfoAGcoo9,Afsaneye Roozegar,2018-08-15,NA,2018,https://api.spotify.com/v1/tracks/7teoHDenzkNObWsu6dAhDL,0.299,0.452,11,-7.459,0,0.0537,0.827,0.537,0.178,0.165,148.403,3,B,minor,B minor,NA,,,,
5i1AP9ISSuGt5qoPmy0M9B,NA,NA,NA,1,244440,FALSE,Bahar Delkash / Aboata,NA,Salar Aghili,سالار عقیلی,16,14,https://api.spotify.com/v1/albums/06f8KcXCQIxG2zfoAGcoo9,06f8KcXCQIxG2zfoAGcoo9,Afsaneye Roozegar,2018-08-15,18,2018,https://api.spotify.com/v1/tracks/5i1AP9ISSuGt5qoPmy0M9B,0.351,0.389,7,-5.394,1,0.0389,0.917,0,0.138,0.386,76.363,3,G,major,G major,NA,,,,
1R7VhfluXWEEoAfd8AKl4H,NA,NA,NA,1,88106,FALSE,Setar Solo,NA,Salar Aghili,سالار عقیلی,NA,15,NA,06f8KcXCQIxG2zfoAGcoo9,Afsaneye Roozegar,2018-08-15,NA,2018,https://api.spotify.com/v1/tracks/1R7VhfluXWEEoAfd8AKl4H,0.378,0.422,11,-8.185,0,0.0541,0.881,0.884,0.287,0.167,158.479,3,B,minor,B minor,NA,,,,
