X1,word,lang,poet,century,text
13733,فشاند,fa,مهدی اخوان ثالث,14,فشاند
2435,خانه,fa,مهدی اخوان ثالث,14,خانه
1569,سیه,fa,مهدی اخوان ثالث,14,سیه
8453,لای,ar,مهدی اخوان ثالث,14,لای
4880,گرنه,fa,مهدی اخوان ثالث,14,گرنه
12088,پرستویی,fa,مهدی اخوان ثالث,14,پرستویی
785,نظاره,ar,مهدی اخوان ثالث,14,نظاره
10402,خبر,fa,مهدی اخوان ثالث,14,خبر
2188,صدایی,ar,مهدی اخوان ثالث,14,صدایی
17327,چین,fa,مهدی اخوان ثالث,14,چین
16558,تنگ,fa,مهدی اخوان ثالث,14,تنگ
15780,آشکار،,fa,مهدی اخوان ثالث,14,آشکار،
8523,زمین,fa,مهدی اخوان ثالث,14,زمین
11199,می‌کرد،,fa,مهدی اخوان ثالث,14,می‌کرد،
14482,ثمر,ar,مهدی اخوان ثالث,14,ثمر
14665,رنگ‌ها,fa,مهدی اخوان ثالث,14,رنگ‌ها
15220,دگر,fa,مهدی اخوان ثالث,14,دگر
11169,دزدیده,fa,مهدی اخوان ثالث,14,دزدیده
7872,آفاق,ar,مهدی اخوان ثالث,14,آفاق
12782,مست,ar,مهدی اخوان ثالث,14,مست
17990,پای,fa,مهدی اخوان ثالث,14,پای
17999,ست,fa,مهدی اخوان ثالث,14,ست
3379,گل,fa,مهدی اخوان ثالث,14,گل
903,سویش,fa,مهدی اخوان ثالث,14,سویش
15149,پر,fa,مهدی اخوان ثالث,14,پر
9618,چنگت,fa,مهدی اخوان ثالث,14,چنگت
4909,نماندستم,fa,مهدی اخوان ثالث,14,نماندستم
17504,آب,fa,مهدی اخوان ثالث,14,آب
2629,مشعلی,ar,مهدی اخوان ثالث,14,مشعلی
4153,پیر,fa,مهدی اخوان ثالث,14,پیر
8524,می‌نهادند,fa,مهدی اخوان ثالث,14,می‌نهادند
12348,پر,fa,مهدی اخوان ثالث,14,پر
11418,سرود,fa,مهدی اخوان ثالث,14,سرود
13860,غمزده,fa,مهدی اخوان ثالث,14,غمزده
17456,پیکرت,fa,مهدی اخوان ثالث,14,پیکرت
16069,بسته,fa,مهدی اخوان ثالث,14,بسته
